Pilot,Description,Skill1,,Skill2,,Skill3,,Skill4,,image
Oglala,"An orphan adopted by G.O.E. She was abandoned in the wild just after her birth and was found and raised by a she-wolf. After being adopted, she later becomes a great spy.",Hide,Enters stealth for 2.5s and heals HP,Magazine Destruction,Firearm attacks apply magazine destruction effect. Enemy's magazine-50% every 6s.,Lone Wolf,"When all allies have been killed, heals all HP, ATK & DEF +50% and becomes immune to debuffs for 4s .",Survival Instinct,Heals up to 2% HP per second. Recovery speed increases with lower HP. This effect cannot be stacked with recovery per second buffs.,https://i.imgur.com/wVRHISj.png
Orlando,A war orphan who was adopted by Ossin. He is very grateful for what Osin did and is willing to do anything for him. He has feelings for Amanda but is always gets teased by her.,FS Field,Blocks ranged attacks for 4.5s. Invaild for melee attacks and grenades,Perfectionism,"When 4 or more allies are alive, final damage+ 16%.",Shield Sync,The regen shield's regenerative interval-20%. Other shields' duration+ 20%. Can be stacked.,Frugality,7.5% chance to attack without consuming ammo. The effect cannot be stacked with other ammo-saving effects.,https://i.imgur.com/umrje6N.png
Oscar,"A mysterious man who is active behind the battlefields all over the world. He is an excellent tactician who has attracted leaders from different countries. However, Oscar seems to be planning something and has not joined any forces so far.",Conspiracy Illusion,"Creates clone units for your team, up to 5 and lasts 1s Creates clone units of your team, up to 5, for 1s",Quick Reaction,"Moving speed, mecha's action CD speed, weapon switch speed or action cohesion speed-7%.",Fair Trade,"When colliding, swaps your debuff for enemy's buff. The minimum interval: 3s",Escape,Increases evasion possibility when moves. Mecha gains an extra escape command. CD decreases with skill level. Min: 10s,
Osin,A controversial leader of the 7th generation of the Solomon family. He is cruel and cold but has an irresistible charm to females.,Limiter Removal,All allies' ATK and DEF increase. Recovers 20% HP. Becomes paralyzed upon skill duration expiry. Effect improves with skill level.,Thrilling Murder Intent,Gives the target a fearful stare once every 3. Freezes and stuns target.,Greedy heart,Buff received by the reader.pilot+ 10%. Increases shield duration. Applies only to Solomon’s Key faction pilots.,Mental tolerance,Becomes immune to paralysis and interference. The duration of stun-50%,https://i.imgur.com/FhWcHEM.png
Paula,"The ""Azure Girl""'s personal hacker. A lazy, arrogant digital warrior, she refers to herself as the Genius Beauty of Hacking - and truly is extremely talented. Rather than a hacker, however, her true wish is to become an e-sports competitor.",Full invasion,All enemies ATK and speed-50% for 2s,Operational suppression,Adds 15% of the reader.pilot's reaction to the other three attributes,Crash,"Activates after 30 shots, the target disconnects for 2.5s. All your actions go into cooling",Logical trap,"1 enemy only, explodes it when its SP is full. Halves the SP. Damage increases as level ups Afflicts one enemy, when its SP bar is full makes it explode. Halves the SP. Damage dealt increases with skill level",https://i.imgur.com/24CWuQD.png
,,,,,,,,,,
Ren,"A ""miracle"" AI accidentally brought to life in the form of an elementary school girl, she longs to join the world of grown-ups. As a result of psychological pollutants linked to the AI, she speaks and imagines in what she imagines to be a ""grown-up"" manner.",瞬间失忆,使敌人大脑空白的精神干预，清空全体敌人动作冷却，负作用是自身无法行动1s,Fallen Curse,Causes various debuffs to enemies. Average interval: 7.5s,Missile Interference,Activates once every 5s and interferse 8 enemy missiles at most,Maintenance Interference,Interferes enemies maintenace. All enemies HP recover effect-15%,
Rena Sayama,公开宣称喜欢奥特曼的超人气偶像。虽然在演出时给人以乖巧的印象，但骨子里自由奔放。与奥特曼有很复杂的因缘，但喜欢奥特曼的心情是货真价实的。,Live Show,3.5s秒内，自己和敌方全体跟随音乐起舞,Inviolability,Taking damage might prompt public outrage. ATK+21% for 3s for all allies. The effect doubles for male allies.,保持初心,耐久低于1/3时立刻Heals 35% HP，对早田进次郎效果翻倍,你可是奥特曼啊！！,限1次，我方处于劣势时，一名友军8s秒内获得金身效果，同时立刻回复1/3耐久，有奥特曼在场时优先使奥特曼获得强化,
Richter,"Former prime mecha designer of Empire. After witnessing the Grand God soldiers, he indulged in their beautiful design. He later joined Osin in order to further his research on them.",EM Attraction,Gradually attracts enemies and paralyzes them for 2s,Faith,The duration of debuffs -40%.,Weapon Expert,Range and speed of non-instantaneous main and secondary shells+25%. Accuracy of missile guidance+ 25%.,Repair,Heals 5% HP for a random ally every 4s,
Rolland,"One of the few true heroes of the Rhein Federation, a swordsman trained by the Black Knight. With the hopes of the nation and the people on his shoulders, his burden is a heavy one. He loves his homeland and comrades deeply, and shows no mercy to the enemy.",Excalibur,ATK & DEF +10% and becomes immune to debuffs for 3s,Sword shield switching,35% chance to Gains a shield for 2s when action is over,Transition,Final damage taken-21%. . The value is converted to ATK at 1% per second,Sword skill,8% chance for melee attacks to ignore immunity to stun them,
Rosa,"A trainer at A.C.E. Academy, formerly a captain of the Far East. She used to be the leader of the Far East's guerrillas and wiped out the drug dealers in the Golden Triangle Area. Thus she earned the name ""Tiger of Southeast Asia"".",Assault Command,ATK+20% for 4s and reload speed +30%,Command Aura,Group Aura: ATK and DEF+ 4%. Cannot be stacked with identical aura. Applies only to living allies.,Frugality,7.5% chance to attack without consuming ammo. The effect cannot be stacked with other ammo-saving effects.,Ballistics,Bullet speed+20. Non-missile weapon scattering angle-50%,https://i.imgur.com/GEr9ID1.png
Saiki Kaede,"A second-year student at the A.C.E. Institute with very few friends, her lonely appearance actually conceals a fierce and radiant heart. After revealing her surprising abilities at her school's talent scouting competition, she was selected by Takahashi Jyuukou as a test reader.pilot for their new mech.",Martial Art,Immediately uses the strongest mecha action and other mecha actions CD-20%.,Good Luck,"Activation rate of skills, chassis features and parts+4%.",Focus,9% chance to block all attacks. Can be stacked.,Obsession,The duration of most of debuffs-100%. Buffs effect-50%,https://i.imgur.com/Oogu6s1.png
Saroya,Daughter of the Samoro King. She was in a deadly situation because her father was betrayed by his own general . She is always traveling with the dedication to rebuild the country.Daughter of the Samoro King. She was in a deadly situation because her father was betrayed by his own general. She is always traveling with the dedication to rebuild her country.,Inferno Fire,Releases a wide range of fire attacks. Damage increase with skill level,Overheat,Causes overheat while dealing fire damage. Interval: 5s,Fire Bath,"Creates a sea of fire to attack enemies for 2.5s. Allies are not affected,.",Endurance,Reduce final damage received by -28%. Value decreases by 1% each second.,https://i.imgur.com/lnEgbJQ.png
Sasaki Hikaruko,The 72th generation of the Sasaki family. She began learning swordsmanship at a young age and is now at stage 7. Her hobby is collecting different types of swords and likes to challenge strong opponents to improve herself.,Swallow Flight,Attacks multiple times rapidly and deals high damage to a group of enemies or a single enemy. Damage increases with skill level.,Explosive Power,Charges to the front of the team and ATK & DEF +35% and becomes immune to debuffs for 3.5s .,Healthy Condition,Final damage+12% when HP is higher than 50%,Increasing Power,Final damage+12% to enemies who have more than 50% HP,https://i.imgur.com/lVukLyG.png
Sawano Hiroko,"The famous musician of Hinomaru, renowned for her sweeping and majestic compositions for electronic orchestras, known as the ""Queen of Passion"". In order to write even more richly emotional battle music, she often chooses to reader.pilot a mech herself for inspiration.",Ignite,"Increases speed, ATK and CD within 6s greatly with BGM.",Variation,Gains a positive buff every 6s. Levels up to gain enhanced effect,Concerto,A random ally ATK & DEF +12.5% and becomes immune to debuffs for 2.5s every 5,Symphony,Interfere 1 target. Interval: 10s. Affected by tenacity,https://i.imgur.com/NxvgvQm.png
Seiji Hokuto,进次郎就读高校的后辈，双手双脚皆为外星人制造的高科技义肢，同时也是“ACE装甲”的着装者，风趣的外表下隐藏着不愿服输的固执，为了让自己的外星恩人可以过上和平幸福的生活，选择了作为“奥特曼”战斗的道路,我是A.C.E,切换武器或动作衔接变快28%，全属性增加28%，使用艾斯装甲时，立即使用零距离断头刀,光线技名手,光属性武器攻击增加49%，贯穿型光属性武器，贯穿目标后伤害不衰减,Modified Man,"Becomes immune to freezing, burning and paralysis. Normal and explosive damage taken -0%",最后的王牌,受到最终伤害减少56%，此效果随时间每秒减少1%，使用艾斯装甲时，濒死时立刻使用零距离斯派修姆炮进行反击,
Serastia,"A genius mecha maker from General Power, the second ranking master for 12 Grand Gods. She has been looking for a suitable partner in order to maximize the power of her mecha.",Mental Field,"Decelerates and destroys the enemy's rockets, missiles and drones for 4s",Soul,ATK+75% for 5s when using your active skill,Missile Mastery,Missile and drone's ATK +21%.,Missile Saver,15% chance to launch missiles without consuming ammo. This effect cannot stack with other ammo-saving effect.,
Serenity,A famous mercenary from the battlefield nicknamed Black Jaeger. She is a world-class killer that is cruel and moody.,Final Moment,Reloads and Heals 15% HP. All weapon's ATK+15% throughout the battle,Moody,Activates at the start of a battle. Gains random buffs. Damage increases with skill level.,Cold Blood,"ATK+ 1% every 1s, up to 100%.",Intuition,Activates when an enemy casts the active skill. Enters stealth for 1s and increases reload speed.,https://i.imgur.com/4ESNF8V.png
Serin,"A girl whose dream is to become an inventor. Due to limited budget, she always borrows materials from others but she never returns anything. Currently, she is working for Richter.",Mag Thief,Steals all enemies ammo to reload. Reloading time: 0.03s,The More The Better,Automatic. Burst weapons ammo+1. CD Reduction of the weapon + 0%.,Frugality,7.5% chance to attack without consuming ammo. The effect cannot be stacked with other ammo-saving effects.,Magazine Destruction,Firearm attacks apply magazine destruction effect. Enemy's magazine-50% every 6s.,https://i.imgur.com/OPUGF3m.png
Sheron,"A sluggish girl whose catchphrase is ""so annoying"". Despite her laziness, she is able to win a battle easily. Although nobody has ever seen her being serious about anything, she still got herself a job as a quartermaster recently.",Listless,"Empties target's mag, SP and action CD. Halves target's ATK and movement speed in 1s",Slow Starter,"Activates after 10s of the battle, ATK+25% for 15s.",Epidemic Laziness,ATK-21% briefly when enemies are nearby. Reduces SP slightly,Enjoyment,Healing+40%,https://i.imgur.com/YS0mi35.png
Shinjiro Hayata,奥特曼的人间体——早田进的儿子，同时也是“奥特曼装甲”的着装者。继承了奥特曼的基因，拥有远超常人的身体能力，虽然偶尔会被诸星弹斥责其“优柔寡断”，但为了保护重要的人，还是穿上了战甲，选择了作为“英雄”而保护和平的道路,我是，奥特曼！！！,9s内全方位强化！,正义守护,友军耐久低于50%时，4秒内吸引全部敌人的火力，对每个友军生效1次，触发时防御提升35%，使用奥特曼装甲时防御效果翻倍,Tenacity,Damage received from one attack is less than 5% of the maximum HP.,不属于地球的力量,受到最终伤害降低21%，使用奥特曼装甲时，追加超必杀技：斯派修姆光线全力射击,
Shirley,Don't let Shirley's appearance fool you. She is not a simple girl from the neighbourhood but a seasoned bounty hunter. You will not understand how terrifying she is until she starts her mecha.,Special Surprise,Plants a giant landmine. Damage increases with skill level.,Sapper,Plants a landmine every 5s.,Spider Thunder,Your landmines can crawl. Landmines planted by teammates are also effective. Increases the movement speed.,Shock Resistance,Becomes immune to the knock up. Normal and explosive damage taken-9%,
Shivaji,"One of the Four Deity Generals from Qujra Kingdom. He is tenacious and brave, fighting hard to protect the last blood of the royal family during the Qujra Civil War.",Knife Throw,Throws curved daggers that can knock back enemies. The number of daggers increases with skill level,Tenacity,Damage received from one attack is less than 5% of the maximum HP.,Enthusiasm,ATK+15%. Becomes immune to freezing effect. The duration of stun and interference-50%,Challenger,"Activates when the enemy casts an active skill, ATK & DEF +50% and becomes immune to debuffs for 2.5s .",https://i.imgur.com/xmXhDFY.png
Slokai,"The 7th Pope and the grand marshal for the Vatican Army. She is arrogant and has no empathy for life. In her opinion, nothing is worth existing except for the machines.",Machine God Howl,"The first main armament 7× scatters, dealing 0% bonus damage",机械侵蚀,"冰属性以外攻击附带强力的酸蚀效果，最小间隔2.1s

All attacks except ice attacks causes corrision. Cooldown: 2.1s.",Machine God's Blessing,Gains a machine god field for 1s after taking ranged damage to defend against attacks every 4.9s. Cannot be stacked with other shield,Full Absorption,Absorbs 10.5% of damage dealt into HP. Can be stacked.,https://i.imgur.com/TlzZ0si.png
Snow,"A tactician for Rhein Federation's special force Azure Girls, who used to be the guard for Black Knights during the war. She appears calm and quiet but is a simple and kind person. In order to protect her teammates and her country, she has became stronger and stronger.",Broken Crystal,"Unleashes multiple ice blades. Damage increases with skill level. Cracked ice crystals wrap the unit. DEF+14% permanently Fires several ice blades. Damage increases as skill level increases.
Exploding ice crystals surrounds the unit, reducing damage taken by 14% until the end of this battle.",Frost Aura,Freezes nearby enemies and reduces their SP. Increases nearby allies' DEF. Interval: 4s,Weakness Focus,Final damage+21% to the target that debuffed. (Exception: knock down and slow down) Final damage+21% to debuffed targets. (Exception: knockdown and slow),Cold Blade,Melee attacks apply ice blades that deals bonus damage and freezes enemies. Damage increases with skill level,https://i.imgur.com/IVrB4Ue.png
Sophia,"Intern captain for A.C.E. Academy, Okita Sophia. A rebellious girl who drinks, skips classes and fights with others. Despite her punkish nature, she actually has a strong sense of justice at heart.",Telekinesis Vortex,Interferes all enemies for 2s,Iron Will,Cancels recoil and becomes immune to knock up. Duration of stun and interference-50%,Swoop In,Group Aura: The duration for the abnormality effect on enemy's status +14%.,Direct Hit,"Ranged attack have a 14% chance to ignore all shield, defense status, interception, blocks, barriers and defensive abilities. This effect cannot stack.",https://i.imgur.com/RPKQSU0.png
Su Rui,"A naive girl from the Far East. She likes to sit on the mechanical bear which is given by her friend Serin. In fact, the giant bear is a supersized negative energy collector.",Unstable Negative Energy,Fires 5 negative Energy Shells that can reduce enemies' ATK. Damage increases with skill level,Ricochet shell,20% chance for linear shells to ricochet. Linear shell only,Akimbo,"When using 2 identical weapons simultaneously, ATK+0%.",Debuff absorption,ATK+25% for 5s when using active skill. Reduces enemies' SP and ATK,https://i.imgur.com/i6JhGRW.png
Sura,One of Nadia's worshipers and a citizen of the New Egypt Kingdom. She is proficient at repairing mecha and volunteered herself to be the technician for Nadia.,Major Repair,"Unable to move within 2s, but heals 24% of HP per second",Machinist,Heals 0.75% HP per second. Cannot be stacked with other recover per second type effects.,Taunt,Increases chance to become the enemy's target. HP +0%.,Power Save,"Activates this skill when battle begins for 10s, Heals 24% for 4s.",https://i.imgur.com/r5Cky7N.png
Suzuran,"The Sandsea Thief Catalina's faithful attendant. Although Suzuran is a gentle girl totally at odds with the Sandsea Thief in nature, she can keep up with Catalina's every move on the battlefield, piercing enemy lines with ease. At the same time, she is one of the few members of the Sandsea Thieves with enough common sense not to bother Glumi.",Don't Give up!,"Removes status abnormality effects on the ally with the lowest hp, and reduces cooldown time of mech's actions. Cooldown time reduction effect scales with increasing skill level.

Cleanse all status conditions and reduce mech's cooldown for abilites to the ally with the lowest hp. Cooldown reduction time scales with skill level.



",Cheers!,"Activates when active skill is used. All allies except for self recover 15% hp for 2 seconds.

When user uses its active skills, heals all allies except the user up to 15% hp for 2 seconds.",Parrot Reversal,"When an enemy activates their active skill, Suzuran will copy that skill and activate it. The copied skill's level is equal to the skill level of ""Parrot Reversal"". Activates once per battle.    

Activates when an enemy activates their active skill. Suzuran will copy and use the same exact skill. Skill level is equal to this skill's level. Can only activate once per a battle.",Guardian Aura,Group Aura: DEF+ 7.5%. Applies only to living allies.,https://i.imgur.com/Cy9y5Nq.png
Sylvia,"Originally the daughter of a noble of the British Empire, she has lost her territory as the result of a court power-struggle. She now works as a bounty hunter; although she enjoys the thrill of defeating her opponents, she longs for the day when she can take her revenge on her true enemy.",Destiny Plunder,"Halves chances for all enemies to trigger skill, affix and chassis features while doubles for yourself for 5s.

Halves the probability for all enemies skills, while doubling the probability of the users skill, chassis, and parts effects for 5s.",Defense Crush,"5% chance to apply Armor Penetration and knockdown effect for melee attacks. Interval: 1.5s

When using a melee attack 5% chance to knockdown and armor break opponents. Cooldown: 1.5s",Abnormal Reflect,"14% chance to relect the freeze, fire, paralysis and defense penetration effect to the source

14% chance to relect freeze, burn, paralysis and armor break status conditions received.",Royal Dance,"Dodge bullets during melee attack, 25% chance to stand up as soon as knocked down

Invincible from ranged attacks when using melee attacks. 25% chance to instantly recover from knockdown.",
Takahashi Natsumi,The daughter of the owner of Takahashi Jyuukou. She is a righteous and stubborn girl. She loves her half brother very much and despises the rest of the family for their way of treating her young brother.,Fire Blast,Deals fire damage to enemies within range. Damage increases with skill level,Backfire,The minimum interval: 6s. The enemies who attack Natsumi will receive burn damage.,Toughness,Activates when HP is lower than 20%. Heals 25% for 5s.,Fire Mastery,Normal attacks (except freeze attribute) apply burning effect. Fire attribute ATK and DEF+ 14%,https://i.imgur.com/XTRCzzI.png
Takahashi Ryoma,A boy attending A.C.E Academy who looks like a girl. The illegitimate son of Takahashi Natsumi's father. Therefore he suffered from discrimination and exclusion from the family and had a miserable childhood.,Overload Shock,Paralyzes both enemy and yourself for 2.1s,EM Mastery,"Attacks apply paralysis effect. , EM attribute ATK and DEF+14%",Electric Leakage,The leaking electricity will paralyze all nearby enemies every 5s.,Tesla Transformation,Group Aura: EM paralysis effect dealt+ 25%. EM paralysis effect taken-25%.,https://i.imgur.com/kwBUUt2.png
Tapfer,An independent and confident girl who always looks indifferent. She likes to collect unusual stuff including tanks!,Extreme Reload,Reloads ammo immediately and Reload speed +2%. Cannot be stacked.,Main Armament Mastery,Main armament's attack +21%.,Ammo Master,每2s为随机武器填充一发弹药单发武器装填速度加快14%,Shell Saver,15% chance of not consuming ammo for main armaments attacks. This effect cannot be stacked with other ammo-saving effect.,https://i.imgur.com/FD8SQUk.png
Taylor,"A super idol from Rhein Federation. Her album ""Magic Bubble"" was on the top of the chart for 28 consecutive weeks. Her real identity is a member of ""Noisy Bat"" and also its biggest sponsor.",Magic Bubble,Launches bubbles that can bounce off shells or stun enemies for 3.6s,Rhythm Protection,"Every 2.5s, creates a reflective shield for yourself that lasts for 0.5s.",Rhythm Bubble,Launches a bubble that can bounce off shells or stun enemies every 3s.,Guardian Heart,"When destroyed, generates a large shield to protect allies. Heals 5% HP.",
Teresa,"Being a decisive and ruthless assassin, she served as a member of Quicksand, a group of cold-blood mercenaries. During a solo action, she almost wiped out the ""Dagger"" team of General Force.",EMP Chain,Releases an EMP Chain Bomb. Effect improves with skill level,Sniper,"When no enemies are nearby, final damage dealt+14%.",Obsession,The duration of most of debuffs-100%. Buffs effect-50%,Ace Pilot,Swap weapons faster. All attributes+10%,https://i.imgur.com/FOMZnuT.png
Tsukigase Yumi,"A noble of the Empire, her family's only daughter, doted on by her parents and older brother. Although she has something of a fear of strangers, she loves small animals. As soon as she sees one, she cannot resist running over to it. Extremely curious and exuberant, she tends to fixate on the things she loves.","Suzufuri
Nyantronome","Shakes the nyanslot bell. Two seconds later, uses a random active skill. Skill strength increases with skill level.
Shakes Nyanslot’s bell. 2 seconds later upon activating this skill, uses a random active skill. Skill strength increases with skill level.",Diffidence,"Activated when an enemy is nearby. Enter a short stealth state and bounce backwards. Activation interval: 5 seconds
Activates when an enemy is nearby. Enters stealth mode and dashes backwards. Cooldown: 5 seconds.","Animal Moe
Moe Animal Complex",Increases pet level by 10 . Can exceed the level limit.,Curiosity,"敌方释放主动技能时产生强烈好奇心，以该敌方为目标并有35%概率驱散目标增益效果  Triggered when an enemy uses an active skill.
Target the enemy and dispel enemy buffs with 35% chance.
Activates when an opponent uses an active skill. Targets the enemy. {value} chance to dispel the target’s buff. ",
Tuya,A member of the Anti-Vaca Front. A great desert battle master who hates Vaca for occupying her motherland and has been fighting against Vaca for that.,Hide,Enters stealth for 2.5s and heals HP,Revenge,"Activates when an ally has been killed, up to 7 times. Heals 50% HP. ATK+10% for 5s",Full Evasion,Evades attacks once every 3.4s. The effect cannot be stacked with other 100% Evade effects.,Increasing Power,Final damage+12% to enemies who have more than 50% HP,https://i.imgur.com/4c7M5Ed.png
Tysha,"An orphan who hates all mercenaries as she watched her village being burnt down by them After becoming a bounty hunter, she focuses on targets who are mercenaries.",Portable Missile,Fires multiple portable missiles to attack enemies. Adds 2 missiles for every 2 levels increased.,Frugality,7.5% chance to attack without consuming ammo. The effect cannot be stacked with other ammo-saving effects.,弹药师,每2s为随机武器填充一发弹药单发武器装填速度加快14%,Revenge,"Activates when an ally has been killed, up to 7 times. Heals 50% HP. ATK+10% for 5s",https://i.imgur.com/xkgIHTR.png
Vanessa,The owner of a famous tavern. Mercenaries from all over the world can't turn their heads away from her but it seems like she has already fallen in love with someone else.,Vacuum Static Field,Creates a small Vacuum Field that can attract nearby enemies. Damage increases with skill level,Robust,Activates after receiving 10 attacks. Increases stats and becomes immune to debuffs within 1s.,Love,Recovers 0.6% of HP per second for all allies. Cannot be stacked with same kind of recovery effects.,Confusion,"The duration of EM paralysis, stun and interference dealt +50%.",https://i.imgur.com/YDWgLTG.png
Vayura,"The alleged master of Twelve Shiva, is a girl who loves machines. Although she is often discriminated against by others as a lower caste, she never cares about what other people think and only puts her concentration on the machines.",Shrink Ray,Shrinks enemies except giant bosses. The target will be unable to attack and use ULT for enemies in 2.4s,Machinist,Heals 0.75% HP per second. Cannot be stacked with other recover per second type effects.,Missile Interference,Activates once every 5s and interferse 8 enemy missiles at most,Social Outcast,Reduces the chance of becoming the enemy's target. Ef'fect increases with skill level,
Veronica,"The Interim captain of the special force ""Black Lightning"" in Rhein Federation. Born in a reputable family, he is proud and aloof but has a strong sense of responsibility. He used to fight together with the most powerful Black Knight in the west land and has great respect towards Black Knights. The Interim captain of the special force ""Black Lightning"" in Rhein Federation. Born in a reputable family, she is proud and aloof but has a strong sense of responsibility. She used to fight together with the most powerful Black Knight in the west land and has great respect towards the Black Knight.",Death,Becomes stealth and launches a spinning sickle to attack enemies. Damage increases with skill level Enters stealth and launches spinning sickles to attack enemies. Damage increases with skill level,Air Slash,A melee attack with air blades that deals extra damage. Upgrade to increase power. A melee attack with air blades that deals extra damage. Damage increases with skill level,No-signal Zone,Creates a No-signal Zone when HP is below 35%. Allies in zone gets in stealth and enemies get hurt for 2.5s. When HP is below 35% creates a No-signal Zone for 2.5s. Allies inside the zone enter stealth while enemies take damage.,Black Lightning,"In stealth status, increases attack temporarily and recovers 2.5% HP every second.",https://i.imgur.com/k8SsiFK.png
Veruca,"The body of the reincarnation of the First Pope. After the fight in the ancient castle, she gave her approval to the strength of Slokai. As a new Vatican Knight, she is now helping the current Pope Slokai.",Call of Hades,Current HP-24% to all units. Allies are affected by half. Invalid for Boss,HP Steal,Normal or explosive attack will steal enemy's 14% HP. Can be stacked,Immortality,"Every 1 unit that dies near you, Heals 10% HP. Invaild to mirror and summoning units Heals 10% HP everytime an unit dies near you. Clones and summoned units don't trigger this effect",Night Watch,Activates once every 2. Nearby allies become stealth.,
Vesper,"The Vatican Grand Knight, known as a semi human and semi mecha Killing Doll, has a cold personality and ignores anyone besides the Pope.",Death Hug,Transforms into an electric saw to attack and block missiles. Becomes immune to debuffs. Damage increases with skill level,Faith,The duration of debuffs -40%.,Indifferent,Nullifies one enemy's attack every 1.2s. Cannot be stacked with the same effect.,Thorny Rose,15% chance to block and reflect Melee Attacks. Can be stacked.,https://i.imgur.com/0pZV54p.png
Victoria,"Queen of the British Empire, a great politician and general. Under her leadership, Empire won the 2nd War of New Land and forced the Freedom States to give up a large portion of its land.",Cheer,"ATK & DEF +15% and becomes immune to debuffs for 4s for all. . Imperial forces+2s

Buffs all allies ATK & DEF by +15% and give all allies golden mode for 4s.  Great Britian pilots gain a bonus additional +2s",Perfectionism,"When 4 or more allies are alive, final damage+ 16%.

When 4 or more allies are alive, increase user's final damage by +16%.",Guardian Aura,"Group Aura: DEF+ 7.5%. Applies only to living allies.

Team Aura: Def+ 7.5%. Effects last as long as user is alive.",Triumph Aura,"Group Aura: ATK+ 6%. Cannot be stacked with identical aura. Applies only to living allies.

Team Aura: ATK+ 6%. This effect cannot stack with aura of the same effects. Effects last as long as user is alive.",https://i.imgur.com/nnLWHBI.png
Violet,"An expatriate deployed from the Mechanical Vatican, her entire body has been replaced with prosthetics. Although she is the Vatican Knight Wynonna's ""Skeleton"", she can still move independently under certain circumstances. She has a cold manner, but has no reservations about working together with others.",无名,对目标施加永久诅咒，每秒造成伤害，如果目标阵亡，诅咒将转移给另一名敌人，升级提升伤害,无念,每秒提升4%最终伤害，最多叠加10次，切换目标后清零,无影,50%概率无视来自目标以外的伤害和异常效果,无形,碰撞时弹开对方并进入1秒隐身状态，触发间隔4s秒,
Vivian,"An innocent and kind-hearted girl who likes to ask successful people about their stories of woe. She dreams to be a host for a romance TV program, but currently works at Babylon Cafe.",Drone Shield,Grants a drone shield for every ally. The duration of the effect increases with skill level,Incentive,Gains 10% SP for the whole team when in a battle. The effect can be stacked and set off by immunity effects.,Shield Enhancement,Radius of the generated shield+15%.,Rhythm Protection,"Every 2.5s, creates a reflective shield for yourself that lasts for 0.5s.",https://i.imgur.com/M7DM7S4.png
Vivian·Kirasta,"A bounty hunter wandering from all kingdoms. Despite her young or even childish appearance, she is quite powerful and expressive, noisy but not annoying. Although she doesn't seems smart, but is unexpectedly reliable at critical times",Soar to the sky,Dashes and knocks up enemies. Damage increases with skill level,Showmanship,"Every 1 unit in the scene, gains 1.4% bonus damage increase",Giant swing,Melee attacks apply knock up and deal bonus damage. Minimum interval: 3s,Air chasing,Lauches missles to nearby knocked up enemies. Interval: 1s,
Windsor,"Windsor, a synth-pop musician who lives in the past. Her gentle character is mixed with a little bit charming excitement as well. ""Like the black raindrops on a transparent umbrella"" is the comment from one of her few fans.",High-Pitch Shock,Destroys all enemy shells and shields. Effect increases with skill level.,Amplitude Enhanced,"After an ally uses an active skill, all teammates ATK+25% for 3s.",Resonance Barrier,Activates when the enemy casts an active skill. Whole team DEF+20% for 3s.,Incentive,Gains 10% SP for the whole team when in a battle. The effect can be stacked and set off by immunity effects.,
Wood,"As the most excellent Pilot of the U.S.F, he has been through countless battles and some of the are quite the narrow escapes. However, this serious looking guy has not only managed to survive but also completed his missions excellently.",Super Modification,"The magazine of single-shot, automatic and burst weapons+60%. Cannot be stacked",Direct Hit,"Ranged attack have a 14% chance to ignore all shield, defense status, interception, blocks, barriers and defensive abilities. This effect cannot stack.",Cold Blood,"ATK+ 1% every 1s, up to 100%.",Unyielding,"Upon taking fatal damage, remains active for 2.5s. Becomes immune to all debuffs and ATK+50%",https://i.imgur.com/UERm67f.png
Wynonna,"Vatican Grand Knight, an eccentric denpa girl who has the ability to communicate with machine spirits and she is always talking to herself. During the War of Purification, she slayed Qujra's [Eight Legions] just by herself.",Abyss Attraction,"Releases a black hole that absorbs shells for 4s.

Creates a black hole shield that absorbs shells for 4s.",Deep Fear,Freezes all enemies when HP is lower than 50%. ATK-50% for 3.5s and SP -20%.,Petrified Eye,Freezes the targets. SP will be reduced continuously for up to 12s.,Indifferent,Nullifies one enemy's attack every 1.2s. Cannot be stacked with the same effect.,https://i.imgur.com/kwoqsDQ.png
Xi Ye,"A precocious, mean and dreamy little girl who is good at increasing her mission successful rate by her cute appearance and lovely voice. Her imaginary enemy is Charlotte.",Brainwash,The target will frequently make errors. Empties and can not gain SP for 3s,Magic sound,"1 time per 3.5s, releases noise waves to interfere with the sense of direction to the enemies around her",Emergency Escape,Teleports to a random spot on battlefield when injured and launches sound wave pulse. Interval: 5s,Confusion,"The duration of EM paralysis, stun and interference dealt +50%.",https://i.imgur.com/SjAgXyZ.png
Xiao Xue,"The Captain of Far East 4th Field Army, who is small in stature but excellent in combat skills. She's a simple and naive girl, sometimes even a little bit dull, which gives her supervisors quite some headaches.",Smog Cover,"Uses smoke to make enemies miss their target, evading shells for 1s",Main Armament Mastery,Main armament's attack +21%.,Sniper,"When no enemies are nearby, final damage dealt+14%.",Distraction,Interferes a random enemy for 2.5s on debut,https://i.imgur.com/30xXqx4.png
